Spotify_ID;Artista;Genero
6UbmqUEgjLA6jAcXwbM1Z9;BIBI;k-pop
6UbmqUEgjLA6jAcXwbM1Z9;BIBI;k-rap
6qxpnaukVayrQn6ViNvu9I;BigXthaPlug;southern hip hop
36cgvBn0aadzOijnjjwqMN;ILLIT;k-pop
5SXuuuRpukkTvsLuUknva1;Baby Keem;hip-hop
5SXuuuRpukkTvsLuUknva1;Baby Keem;rap
5SXuuuRpukkTvsLuUknva1;Baby Keem;trap
7D5NN6IlLcm4Mo2QPqAQFx;Doncesão;boom bap
7D5NN6IlLcm4Mo2QPqAQFx;Doncesão;brazilian hip hop
2R57sY41L9XvGPiIgHOaYq;The Pretty Reckless;post-grunge
2R57sY41L9XvGPiIgHOaYq;The Pretty Reckless;indie
2R57sY41L9XvGPiIgHOaYq;The Pretty Reckless;alternative
2YZyLoL8N0Wb9xBt1NhZWg;Kendrick Lamar;west coast hip hop
2YZyLoL8N0Wb9xBt1NhZWg;Kendrick Lamar;hip-hop
6HvZYsbFfjnjFrWF950C9d;NewJeans;k-pop
4tk2WUKBOS9nKZj7bPQIXT;Naïka;electronic
4tk2WUKBOS9nKZj7bPQIXT;Naïka;r&b
4tk2WUKBOS9nKZj7bPQIXT;Naïka;haiti
4tk2WUKBOS9nKZj7bPQIXT;Naïka;pop
5eAWCfyUhZtHHtBdNk56l1;System Of A Down;rock
5eAWCfyUhZtHHtBdNk56l1;System Of A Down;metal
5eAWCfyUhZtHHtBdNk56l1;System Of A Down;alternative metal
5eAWCfyUhZtHHtBdNk56l1;System Of A Down;nu metal
5eAWCfyUhZtHHtBdNk56l1;System Of A Down;rap metal
3l3kTDXnvYNA4u1kLLvLn2;TOKIODK;boom bap
3l3kTDXnvYNA4u1kLLvLn2;TOKIODK;brazilian trap
3l3kTDXnvYNA4u1kLLvLn2;TOKIODK;trap
3l3kTDXnvYNA4u1kLLvLn2;TOKIODK;trap funk
3l3kTDXnvYNA4u1kLLvLn2;TOKIODK;brazilian hip hop
1ZLU77nRzQIaP23mVSYpCQ;Hearts2Hearts;k-pop
6YVMFz59CuY7ngCxTxjpxE;aespa;k-pop
6l3HvQ5sa6mXTsMTB19rO5;J. Cole;rap
4q3ewBCX7sLwd24euuV69X;Bad Bunny;trap latino
4q3ewBCX7sLwd24euuV69X;Bad Bunny;reggaeton
4q3ewBCX7sLwd24euuV69X;Bad Bunny;urbano latino
4q3ewBCX7sLwd24euuV69X;Bad Bunny;latin
6qqNVTkY8uBg9cP3Jd7DAH;Billie Eilish;electropop
6qqNVTkY8uBg9cP3Jd7DAH;Billie Eilish;indie
6qqNVTkY8uBg9cP3Jd7DAH;Billie Eilish;alternative
6qqNVTkY8uBg9cP3Jd7DAH;Billie Eilish;art pop
7n2Ycct7Beij7Dj7meI4X0;TWICE;k-pop
2sSGPbdZJkaSE2AbcGOACx;The Marías;bedroom pop
3MZsBdqDrRTJihTHQrO6Dq;Joji;pop
3MZsBdqDrRTJihTHQrO6Dq;Joji;hip-hop
3MZsBdqDrRTJihTHQrO6Dq;Joji;lo-fi
3MZsBdqDrRTJihTHQrO6Dq;Joji;alternative rnb
3MZsBdqDrRTJihTHQrO6Dq;Joji;japanese
3qiHUAX7zY4Qnjx8TNUzVx;Yeat;rage rap
41MozSoPIsD1dJM0CLPjZF;BLACKPINK;k-pop
4SpbR6yFEvexJuaBpgAU5p;LE SSERAFIM;k-pop
6fxyWrfmjcbj5d12gXeiNV;Denzel Curry;hip-hop
6fxyWrfmjcbj5d12gXeiNV;Denzel Curry;southern hip hop
6fxyWrfmjcbj5d12gXeiNV;Denzel Curry;trap
6fxyWrfmjcbj5d12gXeiNV;Denzel Curry;cloud rap
6fxyWrfmjcbj5d12gXeiNV;Denzel Curry;rap
5K4W6rqBFWDnAN6FQUkS6x;Kanye West;rap
13ubrt8QOOCPljQ2FL1Kca;A$AP Rocky;rap
250b0Wlc5Vk0CoUsaCY84M;JENNIE;k-pop
5KKpBU5eC2tJDzf0wmlRp2;RAYE;r&b
5KKpBU5eC2tJDzf0wmlRp2;RAYE;pop
01QTIT5P1pFP3QnnFSdsJf;Lupe Fiasco;hip-hop
01QTIT5P1pFP3QnnFSdsJf;Lupe Fiasco;rap
0EyhkwP3UnwGFBy6xwKjSy;EsDeeKid;jerk
0EyhkwP3UnwGFBy6xwKjSy;EsDeeKid;cloud rap
0EyhkwP3UnwGFBy6xwKjSy;EsDeeKid;trap
6OmxkansdRyVTvo6BpZzKF;jev.;jazz rap
0fvXYAyHJ26i3CxGo2HSX2;Killa Bi;boom bap
0fvXYAyHJ26i3CxGo2HSX2;Killa Bi;brazilian hip hop
3reO9PItiBjCig5Jqv3Fmw;Brone;boom bap
3q7HBObVc0L8jNeTe5Gofh;50 Cent;east coast hip hop
3q7HBObVc0L8jNeTe5Gofh;50 Cent;old school hip hop
45dkTj5sMRSjrmBSBeiHym;Tate McRae;canadian
45dkTj5sMRSjrmBSBeiHym;Tate McRae;my top songs
45dkTj5sMRSjrmBSBeiHym;Tate McRae;pop
74DmeplOsb1zShj5BqqkbQ;Rodrigo Ogi;boom bap
74DmeplOsb1zShj5BqqkbQ;Rodrigo Ogi;brazilian hip hop
1G9G7WwrXka3Z1r7aIDjI7;Outkast;southern hip hop
1G9G7WwrXka3Z1r7aIDjI7;Outkast;hip-hop
49HlOY4gkHqsYG9GCuhkcc;Celeste;post-hardcore
49HlOY4gkHqsYG9GCuhkcc;Celeste;black metal
49HlOY4gkHqsYG9GCuhkcc;Celeste;french
49HlOY4gkHqsYG9GCuhkcc;Celeste;screamo
49HlOY4gkHqsYG9GCuhkcc;Celeste;sludge
4E2rKHVDssGJm2SCDOMMJB;Doechii;hip-hop
4E2rKHVDssGJm2SCDOMMJB;Doechii;r&b
4E2rKHVDssGJm2SCDOMMJB;Doechii;pop rap
4E2rKHVDssGJm2SCDOMMJB;Doechii;alternative rnb
4E2rKHVDssGJm2SCDOMMJB;Doechii;rap
6U3ybJ9UHNKEdsH7ktGBZ7;JID;hip-hop
6U3ybJ9UHNKEdsH7ktGBZ7;JID;rap
6U3ybJ9UHNKEdsH7ktGBZ7;JID;trap
2rwALQ1SXdfUWPUd6WOfYS;Aaron May;hip-hop
2rwALQ1SXdfUWPUd6WOfYS;Aaron May;underground hip hop
2rwALQ1SXdfUWPUd6WOfYS;Aaron May;rap
36cgvBn0aadzOijnjjwqMN;ILLIT;korean
36cgvBn0aadzOijnjjwqMN;ILLIT;girl group
