Artista;Generos_Consolidados;Total_Generos_Unicos;Popularidade_Maxima;Spotify_ID;URL_Spotify;Imagem_URL
BIBI;j-pop, k-pop, k-rap, korean, r&b;5;63;6UbmqUEgjLA6jAcXwbM1Z9;https://open.spotify.com/artist/6UbmqUEgjLA6jAcXwbM1Z9;https://i.scdn.co/image/ab6761610000e5ebd7102187f27111bf9361de09
BigXthaPlug;dallas, hip-hop, rap, southern hip hop, texas;5;80;6qxpnaukVayrQn6ViNvu9I;https://open.spotify.com/artist/6qxpnaukVayrQn6ViNvu9I;https://i.scdn.co/image/ab6761610000e5ebd6453796533f46670f34ceb8
ILLIT;girl group, k-pop, korean;3;77;36cgvBn0aadzOijnjjwqMN;https://open.spotify.com/artist/36cgvBn0aadzOijnjjwqMN;https://i.scdn.co/image/ab6761610000e5eb169a757a7d0ba53a33984416
Baby Keem;hip-hop, rap, trap;3;80;5SXuuuRpukkTvsLuUknva1;https://open.spotify.com/artist/5SXuuuRpukkTvsLuUknva1;https://i.scdn.co/image/ab6761610000e5ebe45a6e4cee2ef5f4c0fec713
Doncesão;boom bap, brazilian, brazilian hip hop, hip-hop, rap;5;43;7D5NN6IlLcm4Mo2QPqAQFx;https://open.spotify.com/artist/7D5NN6IlLcm4Mo2QPqAQFx;https://i.scdn.co/image/ab6761610000e5eb8406f808a4a56c4f081d09b7
The Pretty Reckless;alternative, indie, post-grunge;3;61;2R57sY41L9XvGPiIgHOaYq;https://open.spotify.com/artist/2R57sY41L9XvGPiIgHOaYq;https://i.scdn.co/image/ab6761610000e5ebe47281f2be70ada41b934a71
Kendrick Lamar;hip-hop, rap, west coast, west coast hip hop;4;90;2YZyLoL8N0Wb9xBt1NhZWg;https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg;https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
NewJeans;k-pop, r&b;2;77;6HvZYsbFfjnjFrWF950C9d;https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d;https://i.scdn.co/image/ab6761610000e5eb8dae71b664393f38ba91f891
Naïka;electronic, haiti, pop, r&b;4;66;4tk2WUKBOS9nKZj7bPQIXT;https://open.spotify.com/artist/4tk2WUKBOS9nKZj7bPQIXT;https://i.scdn.co/image/ab6761610000e5eb15f1b95979ca89bddebf8d89
System Of A Down;alternative, alternative metal, metal, nu metal, rap metal, rock;6;81;5eAWCfyUhZtHHtBdNk56l1;https://open.spotify.com/artist/5eAWCfyUhZtHHtBdNk56l1;https://i.scdn.co/image/ab6761610000e5eb60063d3451ade8f9fab397c2
