Spotify_ID;Musica;Artista;Genero
0LsBeyRc4DmU6z2h0VDh0O;NOT ME;ILLIT;k-pop
0LsBeyRc4DmU6z2h0VDh0O;NOT ME;ILLIT;pop rap
0LsBeyRc4DmU6z2h0VDh0O;NOT ME;ILLIT;korean
51pREVFJeAJGvhJ1rYCKZH;jellyous;ILLIT;k-pop
51pREVFJeAJGvhJ1rYCKZH;jellyous;ILLIT;korean
51pREVFJeAJGvhJ1rYCKZH;jellyous;ILLIT;uk hardcore
0KGIbrNYktDXYyHopcDI2L;Make Me Wanna Die;The Pretty Reckless;garage rock
0KGIbrNYktDXYyHopcDI2L;Make Me Wanna Die;The Pretty Reckless;female vocalist
0KGIbrNYktDXYyHopcDI2L;Make Me Wanna Die;The Pretty Reckless;indie
0KGIbrNYktDXYyHopcDI2L;Make Me Wanna Die;The Pretty Reckless;soundtrack
1k0JAiH11gHL9dc5dfQjQr;NOT CUTE ANYMORE;ILLIT;k-pop
1k0JAiH11gHL9dc5dfQjQr;NOT CUTE ANYMORE;ILLIT;korean
1k0JAiH11gHL9dc5dfQjQr;NOT CUTE ANYMORE;ILLIT;kiki owner of this song
1k0JAiH11gHL9dc5dfQjQr;NOT CUTE ANYMORE;ILLIT;pop reggae
65FftemJ1DbbZ45DUfHJXE;OMG;NewJeans;future bass
65FftemJ1DbbZ45DUfHJXE;OMG;NewJeans;k-pop
65FftemJ1DbbZ45DUfHJXE;OMG;NewJeans;r&b
65FftemJ1DbbZ45DUfHJXE;OMG;NewJeans;2023
65FftemJ1DbbZ45DUfHJXE;OMG;NewJeans;baltimore club
1aKvZDoLGkNMxoRYgkckZG;Magnetic;ILLIT;k-pop
1aKvZDoLGkNMxoRYgkckZG;Magnetic;ILLIT;pluggnb
1aKvZDoLGkNMxoRYgkckZG;Magnetic;ILLIT;soty
2YSzYUF3jWqb9YP9VXmpjE;IDGAF (feat. Yeat);Drake;nu jazz
2YSzYUF3jWqb9YP9VXmpjE;IDGAF (feat. Yeat);Drake;drake
2YSzYUF3jWqb9YP9VXmpjE;IDGAF (feat. Yeat);Drake;rage
2YSzYUF3jWqb9YP9VXmpjE;IDGAF (feat. Yeat);Drake;vocal jazz
2YSzYUF3jWqb9YP9VXmpjE;IDGAF (feat. Yeat);Drake;my top songs
4p0uVFAXKUISu8yp9gNtWE;Billyeoon Goyangi (Do the Dance);ILLIT;disco
4p0uVFAXKUISu8yp9gNtWE;Billyeoon Goyangi (Do the Dance);ILLIT;french house
4p0uVFAXKUISu8yp9gNtWE;Billyeoon Goyangi (Do the Dance);ILLIT;soty
4p0uVFAXKUISu8yp9gNtWE;Billyeoon Goyangi (Do the Dance);ILLIT;bomb
56v8WEnGzLByGsDAXDiv4d;ETA;NewJeans;catchy
56v8WEnGzLByGsDAXDiv4d;ETA;NewJeans;k-pop
56v8WEnGzLByGsDAXDiv4d;ETA;NewJeans;korean
56v8WEnGzLByGsDAXDiv4d;ETA;NewJeans;2023
56v8WEnGzLByGsDAXDiv4d;ETA;NewJeans;baltimore club
5FSJErpzGIUmp0TMioaQno;Queencard;i-dle;pop rock
5FSJErpzGIUmp0TMioaQno;Queencard;i-dle;female empowerment
5FSJErpzGIUmp0TMioaQno;Queencard;i-dle;k-pop
5FSJErpzGIUmp0TMioaQno;Queencard;i-dle;hit
5FSJErpzGIUmp0TMioaQno;Queencard;i-dle;2023
7j7ud2oFTJ8BjmeI8bjkQm;Texas;BigXthaPlug;country rap
7j7ud2oFTJ8BjmeI8bjkQm;Texas;BigXthaPlug;southern hip hop
7j7ud2oFTJ8BjmeI8bjkQm;Texas;BigXthaPlug;trap
2DlHlPMa4M17kufBvI2lEN;Chop Suey!;System Of A Down;rock
2DlHlPMa4M17kufBvI2lEN;Chop Suey!;System Of A Down;alternative
2DlHlPMa4M17kufBvI2lEN;Chop Suey!;System Of A Down;metal
2DlHlPMa4M17kufBvI2lEN;Chop Suey!;System Of A Down;alternative metal
2DlHlPMa4M17kufBvI2lEN;Chop Suey!;System Of A Down;system of a down
0WA27lZzPKFJKAbiDRmQDc;RUDE!;Hearts2Hearts;soty
0WA27lZzPKFJKAbiDRmQDc;RUDE!;Hearts2Hearts;house
0N3W5peJUQtI4eyR6GJT5O;King Kunta;Kendrick Lamar;funk
0N3W5peJUQtI4eyR6GJT5O;King Kunta;Kendrick Lamar;best of 2015
0N3W5peJUQtI4eyR6GJT5O;King Kunta;Kendrick Lamar;hip-hop
0N3W5peJUQtI4eyR6GJT5O;King Kunta;Kendrick Lamar;funky
0N3W5peJUQtI4eyR6GJT5O;King Kunta;Kendrick Lamar;2015
0snQkGI5qnAmohLE7jTsTn;Toxicity;System Of A Down;rock
0snQkGI5qnAmohLE7jTsTn;Toxicity;System Of A Down;alternative
0snQkGI5qnAmohLE7jTsTn;Toxicity;System Of A Down;metal
0snQkGI5qnAmohLE7jTsTn;Toxicity;System Of A Down;alternative metal
0snQkGI5qnAmohLE7jTsTn;Toxicity;System Of A Down;system of a down
5sdQOyqq2IDhvmx2lHOpwd;Super Shy;NewJeans;drum and bass
5sdQOyqq2IDhvmx2lHOpwd;Super Shy;NewJeans;jersey club
5sdQOyqq2IDhvmx2lHOpwd;Super Shy;NewJeans;k-pop
5sdQOyqq2IDhvmx2lHOpwd;Super Shy;NewJeans;2023
5sdQOyqq2IDhvmx2lHOpwd;Super Shy;NewJeans;you don't even know my name do ya
7dltD9eEX7X1zk8JJ9BS0e;Superstar (feat. Matthew Santos);Lupe Fiasco;hip-hop
7dltD9eEX7X1zk8JJ9BS0e;Superstar (feat. Matthew Santos);Lupe Fiasco;2000s
