Artista;Periodo;Periodo_Ordem;Ranking;Popularidade;Generos;Fonte_Dados;Data_Extracao;Spotify_ID
BIBI;1_mes;1;1;63;k-pop, k-rap;Spotify;2026-03-25 18:49:30;6UbmqUEgjLA6jAcXwbM1Z9
BigXthaPlug;1_mes;1;2;80;southern hip hop;Spotify;2026-03-25 18:49:30;6qxpnaukVayrQn6ViNvu9I
ILLIT;1_mes;1;3;77;k-pop;Spotify;2026-03-25 18:49:30;36cgvBn0aadzOijnjjwqMN
Baby Keem;1_mes;1;4;80;hip-hop, rap, trap;Last.fm;2026-03-25 18:49:30;5SXuuuRpukkTvsLuUknva1
Doncesão;1_mes;1;5;43;boom bap, brazilian hip hop;Spotify;2026-03-25 18:49:30;7D5NN6IlLcm4Mo2QPqAQFx
The Pretty Reckless;1_mes;1;6;61;post-grunge, indie, alternative;Last.fm;2026-03-25 18:49:30;2R57sY41L9XvGPiIgHOaYq
Kendrick Lamar;1_mes;1;7;90;west coast hip hop, hip-hop;Spotify;2026-03-25 18:49:30;2YZyLoL8N0Wb9xBt1NhZWg
NewJeans;1_mes;1;8;77;k-pop;Spotify;2026-03-25 18:49:30;6HvZYsbFfjnjFrWF950C9d
Naïka;1_mes;1;9;66;electronic, r&b, haiti, pop;Last.fm;2026-03-25 18:49:30;4tk2WUKBOS9nKZj7bPQIXT
System Of A Down;1_mes;1;10;81;rock, metal, alternative metal, nu metal, rap metal;Spotify;2026-03-25 18:49:30;5eAWCfyUhZtHHtBdNk56l1
TOKIODK;1_mes;1;11;61;boom bap, brazilian trap, trap, trap funk, brazilian hip hop;Spotify;2026-03-25 18:49:30;3l3kTDXnvYNA4u1kLLvLn2
Hearts2Hearts;1_mes;1;12;72;k-pop;Spotify;2026-03-25 18:49:30;1ZLU77nRzQIaP23mVSYpCQ
aespa;1_mes;1;13;76;k-pop;Spotify;2026-03-25 18:49:30;6YVMFz59CuY7ngCxTxjpxE
J. Cole;1_mes;1;14;87;rap;Spotify;2026-03-25 18:49:30;6l3HvQ5sa6mXTsMTB19rO5
Bad Bunny;1_mes;1;15;100;trap latino, reggaeton, urbano latino, latin;Spotify;2026-03-25 18:49:30;4q3ewBCX7sLwd24euuV69X
Billie Eilish;1_mes;1;16;90;electropop, indie, alternative, art pop;Last.fm;2026-03-25 18:49:30;6qqNVTkY8uBg9cP3Jd7DAH
TWICE;1_mes;1;17;81;k-pop;Spotify;2026-03-25 18:49:30;7n2Ycct7Beij7Dj7meI4X0
The Marías;1_mes;1;18;83;bedroom pop;Spotify;2026-03-25 18:49:30;2sSGPbdZJkaSE2AbcGOACx
Joji;1_mes;1;19;82;pop, hip-hop, lo-fi, alternative rnb, japanese;Last.fm;2026-03-25 18:49:30;3MZsBdqDrRTJihTHQrO6Dq
Yeat;1_mes;1;20;81;rage rap;Spotify;2026-03-25 18:49:30;3qiHUAX7zY4Qnjx8TNUzVx
BLACKPINK;1_mes;1;21;83;k-pop;Spotify;2026-03-25 18:49:30;41MozSoPIsD1dJM0CLPjZF
LE SSERAFIM;1_mes;1;22;78;k-pop;Spotify;2026-03-25 18:49:30;4SpbR6yFEvexJuaBpgAU5p
Denzel Curry;1_mes;1;23;71;hip-hop, southern hip hop, trap, cloud rap, rap;Last.fm;2026-03-25 18:49:30;6fxyWrfmjcbj5d12gXeiNV
Kanye West;1_mes;1;24;91;rap;Spotify;2026-03-25 18:49:30;5K4W6rqBFWDnAN6FQUkS6x
A$AP Rocky;1_mes;1;25;86;rap;Spotify;2026-03-25 18:49:30;13ubrt8QOOCPljQ2FL1Kca
JENNIE;1_mes;1;26;84;k-pop;Spotify;2026-03-25 18:49:30;250b0Wlc5Vk0CoUsaCY84M
RAYE;1_mes;1;27;83;r&b, pop;Last.fm;2026-03-25 18:49:30;5KKpBU5eC2tJDzf0wmlRp2
Lupe Fiasco;1_mes;1;28;70;hip-hop, rap;Last.fm;2026-03-25 18:49:30;01QTIT5P1pFP3QnnFSdsJf
EsDeeKid;1_mes;1;29;82;jerk, cloud rap, trap;Last.fm;2026-03-25 18:49:30;0EyhkwP3UnwGFBy6xwKjSy
jev.;1_mes;1;30;55;jazz rap;Spotify;2026-03-25 18:49:30;6OmxkansdRyVTvo6BpZzKF
Killa Bi;1_mes;1;31;22;boom bap, brazilian hip hop;Spotify;2026-03-25 18:49:30;0fvXYAyHJ26i3CxGo2HSX2
Brone;1_mes;1;32;29;boom bap;Spotify;2026-03-25 18:49:30;3reO9PItiBjCig5Jqv3Fmw
50 Cent;1_mes;1;33;85;east coast hip hop, old school hip hop;Spotify;2026-03-25 18:49:30;3q7HBObVc0L8jNeTe5Gofh
