Musica;Artista_Principal;Todos_Artistas;Periodo;Periodo_Ordem;Ranking;Album;Popularidade_Musica;Generos_Musica;Data_Extracao;Preview_URL;Spotify_ID
$em;Doncesão;Doncesão, Cravinhos, Paulo DK;1_mes;1;1;$em anos de Perdão;0;N/A;2026-03-25 18:49:30;;0rDKhCsMHpUAKX08RHbUdq
Animal Farm;BIBI;BIBI;1_mes;1;2;Lowlife Princess: Noir;0;N/A;2026-03-25 18:49:30;;52E1RaEQsm97GgjFQCER9L
BIBI Vengeance;BIBI;BIBI;1_mes;1;3;Lowlife Princess: Noir;0;N/A;2026-03-25 18:49:30;;0nS3lmnyaFyXuGVZp5XCqj
Vai Passar;Doncesão;Doncesão, Cravinhos;1_mes;1;4;$em anos de Perdão;0;N/A;2026-03-25 18:49:30;;2yJNi41gbIcgseHwx9BxOP
KAZINO;BIBI;BIBI;1_mes;1;5;KAZINO;0;N/A;2026-03-25 18:49:30;;245onUPHGD1DYuiacxTuW0
Doze Judas na Minha Ceia;Doncesão;Doncesão, Cravinhos;1_mes;1;6;$em anos de Perdão;0;N/A;2026-03-25 18:49:30;;5Gb3dynBKiSjAKAfTGcBYk
NOT ME;ILLIT;ILLIT;1_mes;1;7;NOT ME;0;k-pop, pop rap, korean;2026-03-25 18:49:30;;0LsBeyRc4DmU6z2h0VDh0O
The Weekend;88rising;88rising, BIBI;1_mes;1;8;The Weekend;0;N/A;2026-03-25 18:49:30;;0v2Qgk39gLXMIJi6BY34Fz
The Largest;BigXthaPlug;BigXthaPlug;1_mes;1;9;TAKE CARE;0;N/A;2026-03-25 18:49:30;;3neOwym9kfYsM1QWaR77C1
jellyous;ILLIT;ILLIT;1_mes;1;10;jellyous (Feat. Sophie Powers);0;k-pop, korean, uk hardcore;2026-03-25 18:49:30;;51pREVFJeAJGvhJ1rYCKZH
Make Me Wanna Die;The Pretty Reckless;The Pretty Reckless;1_mes;1;11;Light Me Up;0;garage rock, female vocalist, indie, soundtrack;2026-03-25 18:49:30;;0KGIbrNYktDXYyHopcDI2L
NOT CUTE ANYMORE;ILLIT;ILLIT;1_mes;1;12;NOT CUTE ANYMORE;0;k-pop, korean, kiki owner of this song, pop reggae;2026-03-25 18:49:30;;1k0JAiH11gHL9dc5dfQjQr
Click Clack Symphony. (feat. Hans Zimmer);RAYE;RAYE, Hans Zimmer;1_mes;1;13;Click Clack Symphony. (feat. Hans Zimmer);0;N/A;2026-03-25 18:49:30;;5PspYmmQ8nKESNTcBY2LlX
ONE TRACK MIND;Naïka;Naïka;1_mes;1;14;ECLESIA;0;N/A;2026-03-25 18:49:30;;34BzcgDQc4mnP8A2umJiu9
DISCURSO DO GRAMMY;TOKIODK;TOKIODK, Lucchini, TerrorDosBeats;1_mes;1;15;INFRAÇÃO - 1º ATO;0;N/A;2026-03-25 18:49:30;;6V9Ea0gmi4f228AvEDdNhB
